iter	Logloss
0	0.6928119286
5	0.6911120651
10	0.6894569213
15	0.6878069252
20	0.6861003055
25	0.6844111232
30	0.6827624783
35	0.6811244502
40	0.6794389357
45	0.6777776791
50	0.6761237579
55	0.674507221
60	0.6728862444
65	0.6712328379
70	0.6695830991
75	0.6679811042
80	0.6663794954
85	0.6647942945
90	0.6632146273
95	0.6616117959
99	0.6603239971
