iter	Passed	Remaining
0	170	16894
1	340	16677
2	509	16467
3	678	16285
4	850	16151
5	1019	15969
6	1201	15966
7	1370	15764
8	1539	15567
9	1708	15379
10	1878	15197
11	2048	15024
12	2218	14850
13	2389	14680
14	2562	14522
15	2737	14370
16	2910	14208
17	3082	14043
18	3254	13872
19	3426	13707
20	3599	13539
21	3768	13362
22	3938	13186
23	4108	13010
24	4276	12830
25	4446	12654
26	4616	12482
27	4786	12307
28	4957	12137
29	5129	11968
30	5299	11795
31	5472	11629
32	5643	11458
33	5812	11283
34	5981	11109
35	6152	10937
36	6321	10762
37	6491	10591
38	6661	10419
39	6832	10248
40	7002	10077
41	7172	9904
42	7343	9735
43	7514	9564
44	7685	9392
45	7857	9224
46	8028	9053
47	8199	8882
48	8369	8710
49	8539	8539
50	8709	8368
51	8878	8195
52	9049	8024
53	9215	7850
54	9385	7679
55	9556	7508
56	9724	7336
57	9894	7165
58	10065	6994
59	10236	6824
60	10406	6653
61	10579	6484
62	10751	6314
63	10922	6143
64	11092	5973
65	11265	5803
66	11436	5632
67	11607	5462
68	11777	5291
69	11946	5120
70	12120	4950
71	12290	4779
72	12474	4613
73	12643	4442
74	12812	4270
75	12982	4099
76	13150	3928
77	13320	3757
78	13503	3589
79	13672	3418
80	13841	3246
81	14010	3075
82	14179	2904
83	14350	2733
84	14521	2562
85	14692	2391
86	14862	2220
87	15033	2049
88	15203	1879
89	15374	1708
90	15544	1537
91	15714	1366
92	15884	1195
93	16055	1024
94	16223	853
95	16392	683
96	16564	512
97	16738	341
98	16907	170
99	17078	0
