iter	Passed	Remaining
0	169	16815
1	340	16685
2	508	16427
3	678	16282
4	850	16161
5	1021	16000
6	1191	15824
7	1359	15636
8	1528	15459
9	1697	15280
10	1867	15111
11	2037	14944
12	2207	14774
13	2377	14602
14	2546	14432
15	2718	14271
16	2887	14097
17	3057	13930
18	3227	13761
19	3397	13590
20	3569	13429
21	3742	13270
22	3914	13104
23	4085	12936
24	4255	12766
25	4429	12606
26	4599	12436
27	4770	12265
28	4939	12094
29	5110	11923
30	5279	11751
31	5448	11577
32	5618	11406
33	5786	11233
34	5955	11060
35	6126	10891
36	6297	10722
37	6466	10550
38	6635	10378
39	6802	10203
40	6987	10055
41	7156	9883
42	7325	9710
43	7496	9540
44	7666	9370
45	7836	9199
46	8005	9027
47	8175	8856
48	8344	8684
49	8513	8513
50	8683	8342
51	8858	8177
52	9028	8006
53	9198	7835
54	9365	7662
55	9536	7493
56	9707	7323
57	9878	7153
58	10047	6982
59	10218	6812
60	10389	6642
61	10557	6471
62	10728	6300
63	10898	6130
64	11067	5959
65	11235	5788
66	11406	5618
67	11579	5449
68	11752	5280
69	11927	5111
70	12102	4943
71	12276	4774
72	12449	4604
73	12620	4434
74	12790	4263
75	12962	4093
76	13133	3922
77	13303	3752
78	13474	3581
79	13643	3410
80	13813	3240
81	13982	3069
82	14151	2898
83	14321	2727
84	14491	2557
85	14661	2386
86	14829	2215
87	14999	2045
88	15169	1874
89	15339	1704
90	15511	1534
91	15681	1363
92	15851	1193
93	16021	1022
94	16193	852
95	16365	681
96	16536	511
97	16707	340
98	16875	170
99	17046	0
